Ahjo : Työväen-opiston toimittama sosialistinen tieteellis-kaunokirjallinen kuukausijulkaisu,1916,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34057,fk34057
Aika : the only Finnish newsspaper [!] in Canada,1901,https://digi.kansalliskirjasto.fi/aikakausi/titles/0845-7875,0845-7875
Aikamme,1977,https://digi.kansalliskirjasto.fi/aikakausi/titles/0707-4891,0707-4891
Airut : Sibelius-seuran julkaisu,1917,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34875,fk34875
Ajan sana,1949,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20712,fk20712
American studies : an annotated bibliography,1986,,-
The Americanization of the Finns,1924,,-
Amerikan joulukaikuja 1904,1904,,-
Amerikan Matti,1909,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110193,fk20110193
Amerikan Suometar : kansallista sivistystä ja kirkollista elämää harrastavien Amerikan suomalaisten äänenkannattaja,1899,,-
Apostolinen usko,1910,,-
Aseen kantaja : nuorten ihmisten lehti,1921,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34638,fk34638
Aseveli : 20-vuotisjuhlajulkaisu : (1934-1954),1954,,-
ASF scan : bulletin of the American-Scandinavian Foundation,1983,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110643,fk20110643
Aura,1914,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34461,fk34461
The Aurora news : America first,1929,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110112,fk20110112
Auttaja : kristillismielinen suomenkielinen uutislehti Amerikassa,1906,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11033,fk11033
Before William Penn : the story of the first settlers in Pennsylvania,1929,,-
The boarding house Finns,1972,,-
The Bridge,1959,https://digi.kansalliskirjasto.fi/aikakausi/titles/0734-5933,0734-5933
Canadan suomalainen,1963,,-
Canadan uutiset : Kanadan vanhin siirtosuomalaisten viikottain ilmestyvä sanomalehti,1915,,-
Chicagon sanomat = Chicago news : a Finnish monthly,1926,,-
Child evangelism,,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110114,fk20110114
Child evangelism-lehti,1967,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110113,fk20110113
Christian monthly,1944,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110619,fk20110619
Cloquetin ev. lut. seurakunnan 40-vuotisjuhlajulkaisu,1938,,-
The co-operative farmer,1949,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24055,fk24055
The co-operative pyramid builder,1926,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110115,fk20110115
Dawson Court news,1971,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110181,fk20110181
"The Delaware Finns : or The first permanent settlements in Pennsylvania, Delaware, West New Jersey and Eastern part of Maryland",1925,,-
Edistys,1898,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36465,fk36465
Elämän kevät : kristillinen nuorison julkaisu,1916,,-
Epworth-liitto 'Walon' kesälehti,1905,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110183,fk20110183
"Eramaan Oras : memorial number June 19, 1938",1938,,-
Eteenpäin : sotilaskuva-albumi,1945,,-
Etsijä : vuosineljänneksittäin ilmestyvä aatteellinen julkaisu,1929,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31678,fk31678
FCA newsletter,1970,,-
Finland review,1919,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110621,fk20110621
The Finland sentinel : official organ of The Finland Constitutional League of America,1918,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110622,fk20110622
Finlandia,1940,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110620,fk20110620
"Finlandia : the racial composition, the language, and a brief history of the Finnish people",1957,,-
Finlandia Foundation newsletter : [Finlandia Foundation],1954,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110116,fk20110116
Finnam newsletter,1965,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11093,fk11093
Finnish American magazine,1939,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110623,fk20110623
Finnish connection = Suomi-kontakti = Finlands kontaktey,1985,,-
"Finnish pioneer day : a Minnesota territorial centennial celebration : St. Paul, Minnesota : August 21, 1949",1949,,-
"Finnish Relief, 1940-1952",1972,,-
Folkebladet : Den Lutherske frikirkes organ : et blad for menigheten og folket,1877,https://archives.augsburg.edu/folkebladet-decade,-
Handbook of Latin American studies,1935,,-
"History of the sixty years of Valontuote Temperance Society : Virginia, Minn. = Historia Valontuote raittiusseuran 60-vuotisesta toiminnasta : Virginia, Minn. : 1893-1953",1953,,-
The humanity magazine,1926,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110185,fk20110185
I W W:n vastaus punaiselle ammattiunioiden kansainväliselle (Moskovassa) : laadittu I. W. W.:n yleisen toimeenpanevan komitean toimesta,1922,,-
I. S. R. K. liiton joulujulkaisu,1912,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34878,fk34878
I. S. Raittius-kansan liiton kesäjulkaisu,1912,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110186,fk20110186
An index of Festschriften in religion in the Graduate Seminary Library of Phillips University,1970,,-
Industrialistin joulu,1946,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20262,fk20262
Industrialistin joulu,1917,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34836,fk34836
Isan uutisia,1964,,-
Joulu,1947,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24319,fk24319
Joulu,1939,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110624,fk20110624
Joulu,1972,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110117,fk20110117
Joulu,1928,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110190,fk20110190
Joulu : Amerikan kansanvaltaisten suomalaisten joulujulkaisu,1941,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk25204,fk25204
Joulu : Amerikan suomalaisen kansallis- ja raittiusmielisen väestön joulujulkaisu,1915,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110191,fk20110191
Joulu : Amerikan suomalaisten joulujulkaisu,1959,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24318,fk24318
Joulu-iloa kaikille : lännen suomalaisten kristittyjen joulujulkaisu,1918,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34837,fk34837
Joulu-julkaisu : toimittanut Canadan suomalaisten kansallis- ja edistysseurojen keskusjärjestö,1931,,-
Joululehti,1894,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36481,fk36481
Joulutervehdys,1901,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27135,fk27135
Juhannus,1928,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110195,fk20110195
Juhannus : Amerikan kansanvaltaismielisten suomalaisten kesäjulkaisu,1941,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk25213,fk25213
Juhannus-iloa kaikille : lännen Lähetysystävien juhannusjulkaisu,1919,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110626,fk20110626
... juhannusjuhla,1961,,-
Juhannusvalo,1938,,-
Juhla-julkaisu Copper Cliffin Wuoristo ev.-lut. seurakunnan 40-vuotisjuhlille 1897-1938,1938,,-
Juttulehti : kerran kuukaudessa ilmestynyt kaunokirjallinen julkaisu,1929,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31043,fk31043
Kalevainen : Kalevan naisten ja Kalevan ritarien äänenkannattaja,1915,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110627,fk20110627
Kalevala,1950,,-
The kalevan,1947,,-
Kalevan kansa : kansallinen kuukausilehti,1931,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110196,fk20110196
Kanadan joulu : Kanadan kansallismielisten suomalaisten liiton joulujulkaisu,1935,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110120,fk20110120
Kansan henki : kansallismielisten suomalaisten juhlajulkaisuja,1916,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110192,fk20110192
Kansan kalenteri : yleistietoja kansalaistemme oloista ja työpaikoista sekä osoite-osasto,1905,,-
Kansanhuumori,1936,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31739,fk31739
Kerhoviesti,1959,,-
Kesä-viesti,1920,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110121,fk20110121
Kesäjulkaisu,1915,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110198,fk20110198
Kesäviesti = Summer message,1954,,-
Kevät,1942,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24396,fk24396
Kevät : Amerikan suomalaisten kevätjulkaisu,1945,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27269,fk27269
Kevätsoihtu,1942,,-
