Kevättervehdys,1902,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110628,fk20110628
Kevään airut. 1.,1953,,-
Kipinä : Minnesotan americansuomalaisen historiallisen seuran nyrkkilehti,1953,,-
Kodin joulu : Minnesotan uutisten joulujulkaisu,1958,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110199,fk20110199
Koitto : raittiuskansan äänenkannattaja,1918,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100345,fk20100345
"Korvenraivaaja : muistonumero : Alango-Sturgeon-Korvenkyla-Field alueitten tienraivaajien muistopäivä syyskuun 25 p., 1939",1939,,-
Koti : [Amerikan suomalaisten kasvatuksellinen kuukausijulkaisu],1921,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34509,fk34509
Kristitty,1921,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34515,fk34515
Kultamuruja,1923,,-
Köyhälistön nuija,1906,,-
The land of a thousand lakes,1932,,-
Laskiainen year book,1941,,-
Lasten joulu,1915,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110201,fk20110201
Lasten joulu : Kansan kuvalehden joululehti lapsille,1902,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36511,fk36511
Lasten kevät,1919,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34535,fk34535
Lasten lehti,1920,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34537,fk34537
Lasten ystävä,1902,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110202,fk20110202
Leading star,1906,https://digi.kansalliskirjasto.fi/aikakausi/titles/0744-7485,0744-7485
Lehti lapsille ja kuwiakin,1892,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110630,fk20110630
Lehtinen,1876,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32027,fk32027
Lentäviä lehtiä : perhelukemisto kaikenikäisille,1902,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110204,fk20110204
List of current acquisitions of periodicals and newspapers dealing with the Soviet Union and the East European countries,1964,,-
Los Angeles Finnish congregational church news,1955,,-
Lukemista kaikille : amerikan-suomalaisten vapaamieliset julkaisut,1958,,-
The Lutheran voice : official organ of the National evangelical lutheran church,1949,,-
Lähetys-ystävän jouluviesti,1915,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110625,fk20110625
Maatalous,1921,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110633,fk20110633
A message from dr. Koski's health service,1934,,-
The messenger : the official Sunday school paper of the Suomi Synod,1945,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24057,fk24057
Metsätyöläinen : L. W. I. U. C. of Ontarion piirin äänenkannattaja,1925,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110206,fk20110206
Michiganin suomalainen : Michiganin suomalaisten historia-seuran julkaisu,1969,,-
Minnesotan raittiusliiton juhlajulkaisu 25 vuosijuhlaan 1932,1932,,-
Minnesotan uutiset : the American newspaper for Finnish-Americans,1932,,-
The mission post : official organ of the Finnish Baptist Mission Union of America,1944,,-
Mäenpään isäntä : kyläromaani kapinaviikoilta,1919,,-
Naisyhdistys Pyrkijä : 60-vuotisjuhlajulkaisu : maaliskuun 21 päivänä 1953 : 1893-1953,1953,,-
"Nashwauk : ""the iron ore center"" : the story of Nashwauk, Minnesota",1953,,-
New Yorkin suomalaisten joulu,,,-
News,1972,,-
Newsletter,1964,,-
The Nordic news,1975,,-
Norse civic news,1939,,-
Nuorten sana,1953,,-
Nuorten ystävä,1915,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110210,fk20110210
Nykyaika,1921,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32873,fk32873
"Opas : kertoileva, kahdesti viikossa ilmestyvä uutislehti",1930,,-
Opiston ystäwä,1900,,-
Paukku ja koukku,1973,,-
Pelastuslehti,1925,,-
Pelto ja koti,1912,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110211,fk20110211
The Pendleton area Finns,1971,,-
The pioneer Finnish home,1971,,-
"Pohjolan Virkku : muistojulkaisu K.R. Virkkusen majan n:o 22 Fairport Harbor, Ohio kolmenkymmenvuotisen toimintansa johdosta 1907-1937",1937,,-
Punanen juhannus : 1909. 2.,1909,,-
Punatähti : Amerikan suomalaisten työläisten keskitalvi-julkaisu,1930,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31865,fk31865
Päivälehden kotilehti,1938,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110640,fk20110640
Päivänkysymyksiä,1936,,-
Pääsiäinen : Amerikan suomalaisten kevätjulkaisu,1944,,-
Pääsiäis-sanoma,1920,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34568,fk34568
Pääsiäisilo,1915,,-
Pääsiäisilo : kansalliskirkon juhlajulkaisu 1951,1949,,-
Raitis joulu : Päivälehden joulujulkaisu,1932,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110189,fk20110189
Raitis juhannus,1935,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31628,fk31628
Raittiuskalenteri,1904,,-
Raittiuskansan kesäjulkaisu,1919,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27101,fk27101
Raittiuslehti : raittiuden ystäväin äänenkannattaja,1892,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110212,fk20110212
Raivaaja 50 vuotta,1954,,-
Raivaajan joulu,1950,,-
Raivaajan työvainiolta : Amerikan suomalaisten sosialistien kirjailija-alpumi,1905,,-
Ribbon,1952,,-
Scan : a monthly bulletin,1952,,-
Scandinavian Canadian businessman,1969,,-
The Scandinavian-American bulletin,1966,,-
Seurakuntaviesti,1954,,-
A short story and a poem,1932,,-
Siionin sanomat : kristillinen kuukauslehti : elävän kristillisyyden edistämistä ja puolustamista varten Amerikassa,1891,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110213,fk20110213
Sisu : published periodically in the interests of Finnish-Americans,1950,,-
Soihtu : sosialistinen kuukauslehti,1905,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31649,fk31649
Sosialistin joulu,1914,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110644,fk20110644
Spectrum,1975,,-
"The story of Fairport, Ohio : official souvenir edition commemorating Fairports sesquicentennial celebration 1796-1946",1946,,-
Suomalainen : Yhdysvaltain ja Canadan Suomi-konferenssin kuukausijulkaisu,1962,,-
Suomalainen ev.lut. seurakunta,1951,,-
Suomi alumni bulletin,1958,,-
Suomi inklings : published monthly by the students of Suomi college,1964,,-
Suomi-opiston juhla-julkaisut,1904,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110646,fk20110646
